Район,Адрес,Площадь (м²),Тип,Цена (руб.),Цена за м² (руб.),Комнат,Этаж,ЖК/Комплекс,Источник,Дата сбора,Примечание
,Московский тракт,62.9,Новостройка,8920000,141812,2,10/14,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
Ембаево (пригород),с. Ембаево ул. Бульварная 2,30.9,Новостройка,5070000,164078,студия,4/4,ЖК Ритмы,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2026
,ул. Мельникайте,39,Новостройка,5804400,148831,1,2/25,Жилой район Корней,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2028
,ул. Вадима Бованенко 11,66.2,Новостройка,8910000,134592,2,9/24,ЖК Скандиа. Квартал в Слободе,Яндекс.Недвижимость,2026-07-04,скидка 10%; сдача 4кв.2026
,ул. Евгения Войнова 8,52.4,Новостройка,8750000,166985,1,2/23,ЖК Добро,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2028
,ул. Мельникайте 42к1,44.2,Новостройка,8390000,189819,2,6/20,ЖК Страна.Прибрежная,Яндекс.Недвижимость,2026-07-04,скидка 10%; сдача 4кв.2026
Гилевский (район),ул. Алексея Сергиенко 1,39.2,Новостройка,5510000,140561,1,3/8,ЖК Эпитеты,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,ул. Алматинская 10,36.8,Новостройка,6608000,179565,2,2/25,ЖК ДомОтель,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Вадима Бованенко 11,37.3,Новостройка,6237000,167212,1,9/24,ЖК Скандиа. Квартал в Слободе,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Евгения Войнова 8,48.1,Новостройка,8700000,180873,1,11/23,ЖК Добро,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Мельникайте 42к1,43.4,Новостройка,8240000,189862,2,4/20,ЖК Страна.Прибрежная,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
Гилевский (район),,82.5,Новостройка,10130000,122788,3,3/8,ЖК Эпитеты,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,ул. Лесопарковая 20,46.7,Новостройка,6890000,147537,1,18/24,ГК Чистые пруды,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,,36.4,Новостройка,6710000,184341,1,6/19,ЖК Символ (Комарово Парк),Яндекс.Недвижимость,2026-07-04,сдача 2кв.2028
Дударева (пригород),ул. Сергея Джанбровского 27,71.5,Новостройка,8958000,125287,3,13/14,ЖК Гринвуд,Яндекс.Недвижимость,2026-07-04,скидка 13%; сдача 4кв.2025
,ул. Лесопарковая 22,64.9,Новостройка,8700000,134052,2,15/24,ГК Чистые пруды,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,,39.2,Новостройка,6190000,157908,1,5/19,ЖК Символ (Комарово Парк),Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,мкр. ДОК,35.9,Новостройка,5740000,159889,1,6/19,ЖК Приятное окружение,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,ул. Игоря Комиссарова 21,50.4,Новостройка,8430000,167262,2,3/4,ЖК Эклипт,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2025
